R[MAGRATHEA-iron-1000k],M[MAGRATHEA-iron-1000k],R[Reinhardt2022],M[Reinhardt2022],R[b0d0_80kms],M[b0d0_80kms],R[b0d3_80kms],M[b0d3_80kms],R[b0d5_80kms],M[b0d5_80kms],R[b0d7_80kms],M[b0d7_80kms],R[b0d3_160kms],M[b0d3_160kms],R[b0d5_160kms],M[b0d5_160kms],R[b0d7_160kms],M[b0d7_160kms]
1.39184,0.847289,1.738170426065163,1.03664,1.738170426065163,0.974609,4.197213552150421,1.32461,3.5959481067132075,1.32221,3.4857425303324416,1.37328,9.306351633283773,1.42546,4.496228069786061,1.26659,3.614583458739936,1.32037
1.42188,0.852222,1.7757393483709274,1.04364,1.7757393483709274,0.98099,4.267819999521987,1.33182,3.6704843935974347,1.33053,3.560999115101511,1.38154,9.343565021301526,1.42761,4.564880173905106,1.27293,3.688997945937714,1.32859
1.45192,0.857072,1.8133082706766916,1.05059,1.8133082706766916,0.987283,4.338426446893553,1.33891,3.745020680481662,1.33865,3.63625569987058,1.38971,9.380778409319278,1.42984,4.633532278024151,1.27917,3.763412433135492,1.3367
1.48196,0.861842,1.8508771929824561,1.05741,1.8508771929824561,0.99353,4.409032894265119,1.34593,3.8195569673658896,1.34667,3.7115122846396487,1.39771,9.417991797337033,1.43198,4.702184382143197,1.28529,3.83782692033327,1.3447
1.512,0.866535,1.8884461152882206,1.0641,1.8884461152882206,0.999656,4.479639341636685,1.35284,3.8940932542501168,1.35455,3.786768869408718,1.40555,9.455205185354785,1.43412,4.770836486262242,1.29142,3.9122414075310483,1.35252
1.54204,0.871154,1.926015037593985,1.07075,1.926015037593985,1.0057,4.550245789008251,1.35964,3.9686295411343444,1.36232,3.8620254541777865,1.4133,9.492418573372538,1.43625,4.839488590381287,1.29745,3.986655894728827,1.36024
1.57208,0.875701,1.9635839598997493,1.07724,1.9635839598997493,1.01167,4.620852236379816,1.36633,4.043165828018572,1.36996,3.9372820389468557,1.4209,9.52963196139029,1.43846,4.908140694500332,1.30343,4.061070381926605,1.36787
1.60212,0.880178,2.001152882205514,1.08369,2.001152882205514,1.01757,4.6914586837513825,1.37296,4.1177021149028,1.3775,4.012538623715924,1.42839,9.566845349408045,1.44059,4.976792798619378,1.3093,4.135484869124383,1.37536
1.63216,0.884588,2.038721804511278,1.09002,2.038721804511278,1.02339,4.762065131122949,1.37953,4.192238401787027,1.3849,4.087795208484994,1.43573,9.604058737425797,1.4427,5.045444902738423,1.31513,4.209899356322161,1.38271
1.6622,0.888934,2.0762907268170423,1.09624,2.0762907268170423,1.02915,4.832671578494514,1.38599,4.266774688671254,1.39218,4.163051793254063,1.443,9.64127212544355,1.44482,5.1140970068574685,1.32091,4.284313843519939,1.38998
